position_Captain,position_Lieutenant,race_B,race_H,race_W,promotion,oral,written,combine
1.0,0.0,0.0,1.0,0.0,0.0,57.14,61.0,59.456
1.0,0.0,1.0,0.0,0.0,0.0,70.48,50.0,58.192
1.0,0.0,0.0,1.0,0.0,0.0,42.86,67.0,57.344
1.0,0.0,0.0,0.0,1.0,0.0,53.81,58.0,56.324
1.0,0.0,1.0,0.0,0.0,0.0,60.0,53.0,55.8
1.0,0.0,1.0,0.0,0.0,0.0,54.76,49.0,51.304
0.0,1.0,0.0,0.0,1.0,1.0,88.75,91.0,90.1
0.0,1.0,0.0,0.0,1.0,1.0,87.5,87.0,87.2
0.0,1.0,0.0,0.0,1.0,1.0,77.5,91.0,85.6
0.0,1.0,0.0,0.0,1.0,1.0,85.0,84.0,84.4
0.0,1.0,0.0,0.0,1.0,1.0,80.0,87.0,84.2
0.0,1.0,0.0,0.0,1.0,1.0,73.75,91.0,84.1
0.0,1.0,0.0,0.0,1.0,1.0,80.83,84.0,82.732
0.0,1.0,0.0,0.0,1.0,1.0,73.33,89.0,82.732
0.0,1.0,0.0,0.0,1.0,1.0,63.75,95.0,82.5
0.0,1.0,0.0,0.0,1.0,1.0,68.33,91.0,81.932
0.0,1.0,0.0,0.0,1.0,1.0,69.58,86.0,79.432
0.0,1.0,0.0,0.0,1.0,1.0,73.75,81.0,78.1
0.0,1.0,0.0,0.0,1.0,1.0,58.75,89.0,76.9
0.0,1.0,1.0,0.0,0.0,1.0,77.5,76.0,76.6
0.0,1.0,1.0,0.0,0.0,1.0,61.25,86.0,76.1
0.0,1.0,1.0,0.0,0.0,1.0,80.42,73.0,75.968
0.0,1.0,0.0,0.0,1.0,1.0,74.17,77.0,75.868
0.0,1.0,0.0,0.0,1.0,1.0,63.33,83.0,75.132
0.0,1.0,0.0,0.0,1.0,1.0,87.5,66.0,74.6
0.0,1.0,1.0,0.0,0.0,1.0,65.83,80.0,74.332
0.0,1.0,0.0,0.0,1.0,1.0,78.33,70.0,73.332
0.0,1.0,1.0,0.0,0.0,1.0,70.83,74.0,72.732
0.0,1.0,0.0,0.0,1.0,1.0,66.67,76.0,72.268
0.0,1.0,1.0,0.0,0.0,1.0,92.08,59.0,72.232
0.0,1.0,0.0,0.0,1.0,1.0,72.5,72.0,72.2
0.0,1.0,0.0,0.0,1.0,1.0,73.33,71.0,71.932
0.0,1.0,0.0,1.0,0.0,1.0,55.0,82.0,71.2
0.0,1.0,0.0,1.0,0.0,1.0,69.17,72.0,70.868
0.0,1.0,0.0,0.0,1.0,1.0,65.83,74.0,70.732
0.0,1.0,0.0,0.0,1.0,1.0,58.33,79.0,70.732
0.0,1.0,0.0,1.0,0.0,1.0,53.75,82.0,70.7
0.0,1.0,0.0,0.0,1.0,1.0,77.5,66.0,70.6
0.0,1.0,0.0,0.0,1.0,1.0,73.75,68.0,70.3
0.0,1.0,0.0,0.0,1.0,1.0,71.67,69.0,70.068
0.0,1.0,0.0,0.0,1.0,0.0,64.58,73.0,69.632
0.0,1.0,0.0,1.0,0.0,0.0,70.83,68.0,69.132
0.0,1.0,0.0,0.0,1.0,0.0,73.75,66.0,69.1
0.0,1.0,0.0,0.0,1.0,0.0,58.75,76.0,69.1
0.0,1.0,0.0,0.0,1.0,0.0,51.25,80.0,68.5
0.0,1.0,0.0,1.0,0.0,0.0,62.5,72.0,68.2
0.0,1.0,0.0,0.0,1.0,0.0,51.67,79.0,68.068
0.0,1.0,1.0,0.0,0.0,0.0,70.83,65.0,67.332
0.0,1.0,0.0,0.0,1.0,0.0,64.58,69.0,67.232
0.0,1.0,0.0,0.0,1.0,0.0,79.17,59.0,67.068
0.0,1.0,0.0,1.0,0.0,0.0,56.25,73.0,66.3
0.0,1.0,0.0,0.0,1.0,0.0,55.0,73.0,65.8
0.0,1.0,1.0,0.0,0.0,0.0,66.25,65.0,65.5
0.0,1.0,0.0,0.0,1.0,0.0,50.42,75.0,65.168
0.0,1.0,0.0,1.0,0.0,0.0,57.5,70.0,65.0
0.0,1.0,1.0,0.0,0.0,0.0,69.17,60.0,63.668
0.0,1.0,0.0,1.0,0.0,0.0,51.67,71.0,63.268
0.0,1.0,0.0,0.0,1.0,0.0,71.67,57.0,62.868
0.0,1.0,0.0,1.0,0.0,0.0,50.42,71.0,62.768
0.0,1.0,0.0,0.0,1.0,0.0,56.25,66.0,62.1
0.0,1.0,1.0,0.0,0.0,0.0,56.67,64.0,61.068
0.0,1.0,1.0,0.0,0.0,0.0,56.25,64.0,60.9
0.0,1.0,0.0,1.0,0.0,0.0,42.5,73.0,60.8
0.0,1.0,0.0,1.0,0.0,0.0,51.25,67.0,60.7
0.0,1.0,1.0,0.0,0.0,0.0,55.0,64.0,60.4
0.0,1.0,1.0,0.0,0.0,0.0,51.25,66.0,60.1
0.0,1.0,0.0,0.0,1.0,0.0,49.58,67.0,60.032
0.0,1.0,0.0,0.0,1.0,0.0,60.0,60.0,60.0
0.0,1.0,0.0,1.0,0.0,0.0,46.25,68.0,59.3
0.0,1.0,1.0,0.0,0.0,0.0,60.83,58.0,59.132
0.0,1.0,0.0,0.0,1.0,0.0,57.92,58.0,57.968
0.0,1.0,0.0,0.0,1.0,0.0,51.25,62.0,57.7
0.0,1.0,0.0,0.0,1.0,0.0,44.58,66.0,57.432
0.0,1.0,0.0,1.0,0.0,0.0,44.17,66.0,57.268
0.0,1.0,0.0,0.0,1.0,0.0,45.42,65.0,57.168
0.0,1.0,1.0,0.0,0.0,0.0,55.83,58.0,57.132
0.0,1.0,0.0,0.0,1.0,0.0,54.58,58.0,56.632
0.0,1.0,1.0,0.0,0.0,0.0,58.75,55.0,56.5
0.0,1.0,0.0,1.0,0.0,0.0,40.83,64.0,54.732
0.0,1.0,1.0,0.0,0.0,0.0,52.08,56.0,54.432
0.0,1.0,0.0,1.0,0.0,0.0,48.33,58.0,54.132
0.0,1.0,1.0,0.0,0.0,0.0,52.92,49.0,50.568
0.0,1.0,1.0,0.0,0.0,0.0,45.83,46.0,45.932
